Education,Grade,Years1,Years2,Gender,Age,PC_Job,Salary
3,1,3,1,Male,26,No,32000
1,1,14,1,Female,38,No,39100
1,1,12,0,Female,35,No,33200
2,1,8,7,Female,40,No,30600
3,1,3,0,Male,28,No,29000
3,1,3,0,Female,24,No,30500
3,1,4,0,Female,27,No,30000
3,1,8,2,Male,33,No,27000
1,1,4,0,Female,62,No,34000
3,1,9,0,Female,31,No,29500
3,1,9,2,Female,34,No,26800
2,1,8,8,Female,37,No,31300
2,1,9,0,Female,37,No,31200
2,1,10,6,Female,58,No,34700
3,1,4,0,Female,33,No,30000
3,1,3,0,Female,27,No,31000
3,1,6,0,Female,30,No,27000
2,1,8,9,Female,37,No,29600
3,1,5,6,Female,44,No,32600
2,1,4,3,Female,29,No,29600
3,1,4,2,Female,36,No,29500
2,1,3,3,Male,28,No,31000
1,1,5,0,Female,45,No,28500
2,1,3,4,Male,33,No,26700
3,1,3,1,Male,24,No,30750
3,1,3,1,Male,27,No,29500
2,1,16,6,Female,60,No,42200
1,1,13,0,Female,48,No,37600
1,1,12,6,Female,40,No,34000
2,1,4,7,Female,33,No,33000
1,1,7,4,Female,35,No,28760
1,1,11,0,Female,44,No,35400
3,1,3,8,Male,43,No,31000
2,1,18,2,Female,46,No,38800
2,1,14,0,Female,42,No,34300
1,1,19,0,Female,47,No,35000
3,1,3,2,Female,25,Yes,34600
2,1,2,4,Female,30,No,28500
1,1,11,0,Female,40,No,29500
3,1,3,2,Male,26,No,30500
3,1,5,1,Female,32,No,34200
1,1,15,0,Female,51,No,43600
5,1,7,0,Female,35,Yes,33500
3,1,12,1,Female,37,No,33000
1,1,18,0,Female,44,No,45300
1,1,17,3,Male,53,No,38800
1,1,10,0,Female,40,No,29900
3,1,5,10,Male,51,No,31200
1,1,15,0,Female,42,No,34000
2,1,2,0,Female,53,No,30450
1,1,3,3,Male,58,No,35500
1,1,4,10,Female,44,Yes,34000
2,1,7,0,Female,31,No,29100
1,1,8,0,Female,64,No,29650
3,1,15,1,Female,47,No,29200
3,1,9,0,Female,37,Yes,29800
2,1,16,0,Female,46,No,33500
1,1,8,0,Female,55,No,34000
1,1,9,0,Female,39,No,29600
3,1,18,0,Female,51,No,34000
2,2,3,8,Female,37,No,37250
2,2,6,3,Male,30,No,33000
3,2,4,0,Female,26,No,28600
5,2,5,1,Female,41,Yes,36000
3,2,4,4,Female,34,Yes,37300
2,2,7,4,Male,57,No,29900
1,2,11,8,Female,53,No,31500
3,2,5,4,Female,32,Yes,41400
1,2,17,5,Female,44,No,32740
3,2,3,1,Male,25,No,33500
1,2,5,9,Female,31,No,32000
1,2,9,0,Female,50,No,30800
5,2,3,3,Female,47,Yes,42000
3,2,4,0,Male,35,No,34000
2,2,16,0,Female,43,No,32500
2,2,9,10,Female,46,No,31700
5,2,3,0,Male,35,No,36500
3,2,4,0,Male,22,No,33000
2,2,8,0,Female,58,No,31200
5,2,8,0,Female,40,No,34000
3,2,6,0,Female,30,No,33000
5,2,4,4,Female,29,No,33900
1,2,3,9,Female,31,Yes,39000
2,2,12,18,Male,52,No,34920
5,2,3,5,Male,33,No,39000
1,2,8,0,Female,49,No,34000
2,2,6,7,Female,34,No,31900
5,2,3,1,Male,26,No,37000
5,2,4,0,Male,28,No,34000
5,2,3,2,Female,35,No,36400
1,2,15,1,Female,47,Yes,38200
1,2,15,0,Female,51,No,35300
3,2,3,2,Male,26,No,34500
3,2,12,0,Female,33,No,30500
4,2,2,2,Male,27,No,30000
5,2,8,0,Female,34,Yes,37300
4,2,5,0,Female,29,No,40200
3,2,5,0,Male,27,No,35500
1,2,11,0,Female,43,No,35000
3,2,4,3,Female,36,No,38000
1,2,9,0,Female,38,No,35300
2,2,14,0,Female,60,No,34100
3,3,4,5,Female,43,Yes,43200
2,3,15,5,Female,48,No,36100
5,3,7,3,Female,32,No,34600
3,3,5,0,Male,31,No,36000
5,3,7,2,Female,29,No,36200
3,3,7,0,Female,35,No,37500
3,3,4,12,Female,37,No,41000
2,3,10,0,Female,43,No,35600
3,3,5,5,Female,33,No,39800
4,3,11,4,Female,58,Yes,41300
3,3,9,7,Female,44,No,42500
3,3,4,8,Female,37,Yes,45800
5,3,5,6,Female,48,No,34900
5,3,4,0,Male,26,No,41500
3,3,5,0,Female,25,No,38000
4,3,6,0,Female,38,No,35000
3,3,6,0,Female,41,No,40000
3,3,5,0,Male,29,No,36000
2,3,9,0,Female,59,No,33700
2,3,5,4,Male,29,No,36300
3,3,3,2,Female,27,Yes,38000
5,3,4,0,Female,30,No,39500
2,3,7,5,Female,34,No,36300
3,3,8,2,Female,35,No,32500
2,3,12,6,Female,50,No,37000
5,3,3,1,Female,33,No,32600
3,3,4,0,Female,26,No,36000
5,3,3,0,Female,36,No,35000
5,3,3,5,Female,33,Yes,43600
3,3,8,0,Female,47,No,33800
1,3,21,0,Female,51,No,35300
1,3,16,6,Female,42,No,42400
5,3,5,0,Male,31,No,39500
2,3,25,10,Female,62,No,43500
5,3,6,1,Male,46,No,42000
3,3,21,9,Female,60,No,40300
4,3,6,5,Male,43,No,44000
1,3,25,2,Female,53,No,40660
3,3,13,1,Female,38,No,39700
5,3,6,5,Female,39,No,45000
5,3,7,0,Female,35,No,43900
4,3,8,3,Female,40,No,38000
5,3,5,3,Female,32,No,39020
5,4,5,3,Male,33,No,44500
5,4,4,1,Male,30,No,41000
5,4,6,3,Male,37,No,44000
5,4,6,0,Male,30,No,44000
5,4,5,4,Female,32,No,42500
5,4,7,3,Female,37,No,40260
5,4,5,1,Male,29,No,44500
1,4,13,9,Female,50,No,35500
5,4,6,0,Male,29,No,42500
5,4,7,0,Female,32,No,44000
5,4,6,2,Male,31,No,45000
2,4,15,4,Female,47,No,44400
3,4,17,0,Female,44,No,38000
5,4,4,0,Male,27,No,41800
1,4,23,0,Male,55,No,45500
3,4,5,4,Male,52,No,42500
5,4,3,12,Female,50,No,44000
3,4,19,8,Female,59,Yes,54300
3,4,26,0,Female,47,No,44800
3,4,6,4,Male,43,No,47000
5,4,15,0,Female,41,No,43800
1,4,12,4,Female,39,Yes,48000
5,4,9,0,Female,39,No,42700
3,4,14,1,Female,40,Yes,48500
3,4,16,0,Female,49,No,42000
2,4,16,1,Female,53,No,45500
3,4,11,0,Female,37,No,44500
2,4,13,2,Female,40,No,51200
5,5,7,0,Male,34,No,47500
5,5,8,0,Female,37,No,44500
5,5,8,0,Male,31,No,47000
5,5,6,10,Male,41,No,47000
3,5,17,4,Female,46,No,43100
5,5,8,2,Male,37,No,49000
5,5,8,0,Male,33,No,48500
3,5,8,5,Female,35,No,45000
5,5,16,5,Female,49,No,52500
5,5,6,2,Male,33,No,47500
5,5,7,0,Male,31,No,48000
5,5,8,4,Male,49,No,46500
5,5,12,2,Female,40,No,61500
5,5,9,2,Female,37,No,50000
5,5,12,2,Female,46,No,61800
4,5,16,0,Female,43,No,43000
5,5,11,1,Male,36,No,47000
5,5,9,6,Female,37,No,58500
5,5,16,7,Male,40,No,55000
3,5,24,3,Male,54,No,57000
5,5,17,1,Male,57,No,57000
5,6,14,0,Male,49,No,60000
3,6,13,0,Male,41,No,60000
5,6,19,4,Male,59,No,59000
5,6,12,0,Male,51,No,60000
5,6,20,0,Male,45,No,65000
5,6,20,1,Male,56,No,52000
5,6,22,0,Male,57,No,58000
4,6,21,0,Male,53,No,60000
5,6,39,0,Male,65,No,74000
3,6,34,0,Male,60,No,95000
5,6,36,0,Male,61,No,97000
5,6,32,0,Male,62,No,88000
5,6,35,0,Male,59,No,94000
5,6,33,0,Female,62,No,30000
